2018-04-25 14:35:02,161 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.myjourney:Journey1:0.0.1-SNAPSHOT @ C:\Max Workspace\Journey1\pom.xml.
2018-04-28 17:32:27,565 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-28 17:32:27,567 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-28 17:32:27,571 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-28 17:32:27,572 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-28 17:32:45,274 [Worker-407] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-28 17:32:45,276 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-28 17:32:45,278 [Worker-407] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-28 17:32:45,279 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:24:33,966 [Worker-490] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:24:33,968 [Worker-490] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:24:33,969 [Worker-490] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:24:33,970 [Worker-490] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:29:46,335 [Worker-493] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:29:46,337 [Worker-493] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:29:46,339 [Worker-493] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:29:46,341 [Worker-493] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:32:22,373 [Worker-495] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:32:22,376 [Worker-495] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:32:22,378 [Worker-495] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:32:22,379 [Worker-495] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:37:38,049 [Worker-504] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:37:38,051 [Worker-504] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:37:38,052 [Worker-504] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:37:38,053 [Worker-504] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:41:25,288 [Worker-494] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:41:25,304 [Worker-494] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:41:25,305 [Worker-494] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:41:25,306 [Worker-494] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 12:48:21,996 [Worker-504] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:48:21,999 [Worker-504] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 12:48:22,002 [Worker-504] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 12:48:22,004 [Worker-504] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 18:11:52,377 [Worker-533] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:11:52,388 [Worker-533] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 18:11:52,391 [Worker-533] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:11:52,392 [Worker-533] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 18:35:30,983 [Worker-542] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:35:30,986 [Worker-542] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 18:35:30,987 [Worker-542] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:35:30,988 [Worker-542] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 18:47:39,891 [Worker-549] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:47:39,893 [Worker-549] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 18:47:39,894 [Worker-549] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:47:39,895 [Worker-549] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 18:52:36,453 [Worker-551] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:52:36,455 [Worker-551] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 18:52:36,457 [Worker-551] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:52:36,458 [Worker-551] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 18:57:49,346 [Worker-554] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:57:49,348 [Worker-554] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 18:57:49,351 [Worker-554] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 18:57:49,352 [Worker-554] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 19:03:26,633 [Worker-563] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:03:26,635 [Worker-563] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 19:03:26,637 [Worker-563] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:03:26,638 [Worker-563] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
